query,symbol,notfound
ENSG00000080986,NDC80,
ENSG00000261863,LINC01996,
ENSG00000259749,NCAPGP2,
ENSG00000203499,IQANK1,
ENSG00000159307,SCUBE1,
ENSG00000147689,FAM83A,
ENSG00000186871,ERCC6L,
ENSG00000091651,ORC6,
ENSG00000168309,FAM107A,
ENSG00000107742,SPOCK2,
ENSG00000158373,H2BC5,
ENSG00000134057,CCNB1,
ENSG00000085999,RAD54L,
ENSG00000276644,DACH1,
ENSG00000243364,EFNA4,
ENSG00000238018,,
ENSG00000179528,LBX2,
ENSG00000162062,TEDC2,
ENSG00000138180,CEP55,
ENSG00000105538,RASIP1,
ENSG00000276668,,
ENSG00000129810,SGO1,
ENSG00000114812,VIPR1,
ENSG00000204949,FAM83A-AS1,
ENSG00000171320,ESCO2,
ENSG00000168497,CAVIN2,
ENSG00000162687,KCNT2,
ENSG00000154133,ROBO4,
ENSG00000104738,MCM4,
ENSG00000103241,FOXF1,
ENSG00000093009,CDC45,
ENSG00000171056,SOX7,
ENSG00000102760,RGCC,
ENSG00000268388,FENDRR,
ENSG00000167434,CA4,
ENSG00000156970,BUB1B,
ENSG00000148677,ANKRD1,
ENSG00000142945,KIF2C,
ENSG00000120156,TEK,
ENSG00000081248,CACNA1S,
ENSG00000166292,TMEM100,
ENSG00000157456,CCNB2,
ENSG00000154721,JAM2,
ENSG00000140525,FANCI,
ENSG00000135063,FAM189A2,
ENSG00000134115,CNTN6,
ENSG00000132671,SSTR4,
ENSG00000131747,TOP2A,
ENSG00000187583,PLEKHN1,
ENSG00000162722,TRIM58,
ENSG00000161649,CD300LG,
ENSG00000158764,ITLN2,
ENSG00000154342,WNT3A,
ENSG00000144120,TMEM177,
ENSG00000121211,MND1,
ENSG00000117399,CDC20,
ENSG00000092051,JPH4,
ENSG00000254726,MEX3A,
ENSG00000189129,PLAC9,
ENSG00000178084,HTR3C,
ENSG00000175063,UBE2C,
ENSG00000165480,SKA3,
ENSG00000165434,PGM2L1,
ENSG00000158402,CDC25C,
ENSG00000147206,NXF3,
ENSG00000121152,NCAPH,
ENSG00000115361,ACADL,
ENSG00000066405,CLDN18,
ENSG00000277494,GPIHBP1,
ENSG00000254959,INMT-MINDY4,
ENSG00000241644,INMT,
ENSG00000205213,LGR4,
ENSG00000186193,SAPCD2,
ENSG00000186185,KIF18B,
ENSG00000183317,EPHA10,
ENSG00000180385,EMC3-AS1,
ENSG00000163815,CLEC3B,
ENSG00000141934,PLPP2,
ENSG00000134690,CDCA8,
ENSG00000104938,CLEC4M,
ENSG00000092421,SEMA6A,
ENSG00000267107,PCAT19,
ENSG00000262772,LINC01977,
ENSG00000258947,TUBB3,
ENSG00000254951,LOC283299,
ENSG00000249859,PVT1,
ENSG00000237923,LINC02570,
ENSG00000236054,SYN3-AS1,
ENSG00000182010,RTKN2,
ENSG00000167964,RAB26,
ENSG00000163918,RFC4,
ENSG00000143590,EFNA3,
ENSG00000134201,GSTM5,
ENSG00000130826,DKC1,
ENSG00000120334,CENPL,
ENSG00000103257,SLC7A5,
ENSG00000094804,CDC6,
ENSG00000049283,EPN3,
ENSG00000245614,DDX11-AS1,
ENSG00000228692,,
ENSG00000186994,KANK3,
ENSG00000178999,AURKB,
ENSG00000168481,LGI3,
ENSG00000166851,PLK1,
ENSG00000163472,TMEM79,
ENSG00000138346,DNA2,
ENSG00000116147,TNR,
ENSG00000113569,NUP155,
ENSG00000111344,RASAL1,
ENSG00000108370,RGS9,
ENSG00000075218,GTSE1,
ENSG00000059573,ALDH18A1,
ENSG00000034971,MYOC,
ENSG00000010319,SEMA3G,
ENSG00000263586,HID1-AS1,
ENSG00000249915,PDCD6,
ENSG00000231890,DARS1-AS1,
ENSG00000179967,PPP1R14BP3,
ENSG00000173715,C11orf80,
ENSG00000171819,ANGPTL7,
ENSG00000165197,VEGFD,
ENSG00000158315,RHBDL2,
ENSG00000143217,NECTIN4,
ENSG00000137135,ARHGEF39,
ENSG00000132680,KHDC4,
ENSG00000130164,LDLR,
ENSG00000123485,HJURP,
ENSG00000123473,STIL,
ENSG00000115507,OTX1,
ENSG00000113368,LMNB1,
ENSG00000112214,FHL5,
ENSG00000105613,MAST1,
ENSG00000077152,UBE2T,
ENSG00000070778,PTPN21,
ENSG00000261143,ADAMTS7P3,
ENSG00000259417,CTXND1,
ENSG00000244280,ECEL1P2,
ENSG00000232188,,
ENSG00000227947,LINC01738,
ENSG00000215875,ST13P20,
ENSG00000196793,ZNF239,
ENSG00000178301,AQP11,
ENSG00000159259,CHAF1B,
ENSG00000156804,FBXO32,
ENSG00000140650,PMM2,
ENSG00000140534,TICRR,
ENSG00000136114,THSD1,
ENSG00000131153,GINS2,
ENSG00000115368,WDR75,
ENSG00000113396,SLC27A6,
ENSG00000111641,NOP2,
ENSG00000087586,AURKA,
ENSG00000078081,LAMP3,
ENSG00000062716,VMP1,
ENSG00000051341,POLQ,
ENSG00000024526,DEPDC1,
ENSG00000276170,,
ENSG00000261340,LINC01616,
ENSG00000253507,,
ENSG00000249741,,
ENSG00000227036,LINC00511,
ENSG00000173391,OLR1,
ENSG00000172244,C5orf34,
ENSG00000169679,BUB1,
ENSG00000168685,IL7R,
ENSG00000155897,ADCY8,
ENSG00000145604,SKP2,
ENSG00000144867,SRPRB,
ENSG00000134954,ETS1,
ENSG00000127564,PKMYT1,
ENSG00000126953,TIMM8A,
ENSG00000109805,NCAPG,
ENSG00000109674,NEIL3,
ENSG00000104967,NOVA2,
ENSG00000088340,FER1L4,
ENSG00000256948,,
ENSG00000226886,,
ENSG00000225706,PTPRD-AS1,
ENSG00000185842,DNAH14,
ENSG00000183378,OVCH2,
ENSG00000166012,TAF1D,
ENSG00000165474,GJB2,
ENSG00000150961,SEC24D,
ENSG00000148488,ST8SIA6,
ENSG00000131355,ADGRE3,
ENSG00000129173,E2F8,
ENSG00000118193,KIF14,
ENSG00000116014,KISS1R,
ENSG00000100196,KDELR3,
ENSG00000077522,ACTN2,
ENSG00000280255,,
ENSG00000272666,KLHDC7B-DT,
ENSG00000246273,SBF2-AS1,
ENSG00000245522,LINC02709,
ENSG00000233884,,
ENSG00000225518,LINC01703,
ENSG00000205667,ARSH,
ENSG00000197713,RPE,
ENSG00000185303,SFTPA2,
ENSG00000173599,PC,
ENSG00000169258,GPRIN1,
ENSG00000127329,PTPRB,
ENSG00000122484,RPAP2,
ENSG00000110492,MDK,
ENSG00000101162,TUBB1,
ENSG00000092853,CLSPN,
ENSG00000278259,MYO19,
ENSG00000270977,,
ENSG00000261353,,True
ENSG00000253395,,
ENSG00000249364,LOC101928858,
ENSG00000239268,,
ENSG00000217801,LOC100288175,
ENSG00000189134,NKAPL,
ENSG00000179348,GATA2,
ENSG00000168887,C2orf68,
ENSG00000162063,CCNF,
ENSG00000140505,CYP1A2,
ENSG00000139304,PTPRQ,
ENSG00000125630,POLR1B,
ENSG00000104415,CCN4,
ENSG00000100625,SIX4,
ENSG00000100307,CBX7,
ENSG00000270076,,
ENSG00000259471,LINC01169,
ENSG00000211677,IGLC2,
ENSG00000171121,KCNMB3,
ENSG00000170373,CST1,
ENSG00000163431,LMOD1,
ENSG00000154783,FGD5,
ENSG00000152580,IGSF10,
ENSG00000122694,GLIPR2,
ENSG00000109205,ODAM,
ENSG00000101194,SLC17A9,
ENSG00000101057,MYBL2,
ENSG00000095370,SH2D3C,
ENSG00000043591,ADRB1,
ENSG00000253821,,
ENSG00000241717,VWFP1,
ENSG00000239672,NME1,
ENSG00000205702,CYP2D7,
ENSG00000198468,FLVCR1-DT,
ENSG00000197291,RAMP2-AS1,
ENSG00000176444,CLK2,
ENSG00000171124,FUT3,
ENSG00000171084,FAM86JP,
ENSG00000170323,FABP4,
ENSG00000168539,CHRM1,
ENSG00000166482,MFAP4,
ENSG00000132466,ANKRD17,
ENSG00000117114,ADGRL2,
ENSG00000109667,SLC2A9,
ENSG00000106367,AP1S1,
ENSG00000103269,RHBDL1,
ENSG00000101280,ANGPT4,
ENSG00000100321,SYNGR1,
ENSG00000090889,KIF4A,
ENSG00000016402,IL20RA,
ENSG00000263528,IKBKE,
ENSG00000257474,,
ENSG00000248347,,
ENSG00000237857,,True
ENSG00000234678,ELF3-AS1,
ENSG00000225329,LHFPL3-AS2,
ENSG00000204566,,True
ENSG00000197405,C5AR1,
ENSG00000196754,S100A2,
ENSG00000188831,DPPA3P2,
ENSG00000182048,TRPC2,
ENSG00000170989,S1PR1,
ENSG00000169255,B3GALNT1,
ENSG00000164530,PI16,
ENSG00000159708,LRRC36,
ENSG00000155066,PROM2,
ENSG00000154040,CABYR,
ENSG00000152137,HSPB8,
ENSG00000135953,MFSD9,
ENSG00000134285,FKBP11,
ENSG00000126759,CFP,
ENSG00000113070,HBEGF,
ENSG00000104951,IL4I1,
ENSG00000099769,IGFALS,
ENSG00000096063,SRPK1,
ENSG00000070501,POLB,
ENSG00000064201,TSPAN32,
ENSG00000280020,,
ENSG00000260853,,
ENSG00000251287,ALG1L2,
ENSG00000236304,LOC107984360,
ENSG00000234281,LANCL1-AS1,
ENSG00000229152,ANKRD10-IT1,
ENSG00000228437,LINC02474,
ENSG00000224652,LINC00885,
ENSG00000204623,ZNRD1ASP,
ENSG00000196628,TCF4,
ENSG00000185829,ARL17A,
ENSG00000184445,KNTC1,
ENSG00000184374,COLEC10,
ENSG00000165072,MAMDC2,
ENSG00000154553,PDLIM3,
ENSG00000150551,LYPD1,
ENSG00000149557,FEZ1,
ENSG00000136404,TM6SF1,
ENSG00000131477,RAMP2,
ENSG00000121068,TBX2,
ENSG00000117650,NEK2,
ENSG00000116120,FARSB,
ENSG00000115657,ABCB6,
ENSG00000106028,SSBP1,
ENSG00000272456,,
ENSG00000267095,,
ENSG00000266120,,
ENSG00000256525,POLG2,
ENSG00000244734,HBB,
ENSG00000243466,IGKV1-5,
ENSG00000240889,NDUFB2-AS1,
ENSG00000235387,SPAAR,
ENSG00000230797,YY2,
ENSG00000230701,FBXW4P1,
ENSG00000229312,,
ENSG00000226029,LINC01772,
ENSG00000224041,IGKV3D-15,
ENSG00000213420,GPC2,
ENSG00000211445,GPX3,
ENSG00000204161,TMEM273,
ENSG00000198358,LOC101928372,
ENSG00000196584,XRCC2,
ENSG00000185332,TMEM105,
ENSG00000183682,BMP8A,
ENSG00000183087,GAS6,
ENSG00000167912,LOC100505501,
ENSG00000167703,SLC43A2,
ENSG00000166803,PCLAF,
ENSG00000166143,PPP1R14D,
ENSG00000165591,FAAH2,
ENSG00000161640,SIGLEC11,
ENSG00000159147,DONSON,
ENSG00000155011,DKK2,
ENSG00000154188,ANGPT1,
ENSG00000149503,INCENP,
ENSG00000149218,ENDOD1,
ENSG00000147257,GPC3,
ENSG00000136783,NIPSNAP3A,
ENSG00000136274,NACAD,
ENSG00000128040,SPINK2,
ENSG00000124787,RPP40,
ENSG00000116922,C1orf109,
ENSG00000114654,EFCC1,
ENSG00000111961,SASH1,
ENSG00000106462,EZH2,
ENSG00000105971,CAV2,
ENSG00000101104,PABPC1L,
ENSG00000012822,CALCOCO1,
ENSG00000006740,ARHGAP44,
ENSG00000279805,,
ENSG00000274736,CCL23,
ENSG00000274414,,
ENSG00000274270,,
ENSG00000267892,,
ENSG00000261269,,
ENSG00000241472,PTPRG-AS1,
ENSG00000237276,ANO7L1,
ENSG00000235947,EGOT,
ENSG00000203999,LINC01270,
ENSG00000186642,PDE2A,
ENSG00000184608,FAM167A-AS1,
ENSG00000183765,CHEK2,
ENSG00000182575,NXPH3,
ENSG00000178726,THBD,
ENSG00000176884,GRIN1,
ENSG00000173714,WFIKKN2,
ENSG00000172987,HPSE2,
ENSG00000154146,NRGN,
ENSG00000129744,ART1,
ENSG00000124067,SLC12A4,
ENSG00000118007,STAG1,
ENSG00000113460,BRIX1,
ENSG00000108474,PIGL,
ENSG00000105227,PRX,
ENSG00000104918,RETN,
ENSG00000101003,GINS1,
ENSG00000099901,RANBP1,
ENSG00000084628,NKAIN1,
ENSG00000071794,HLTF,
ENSG00000068028,RASSF1,
ENSG00000036473,OTC,
ENSG00000035141,FAM136A,
ENSG00000275601,,
ENSG00000274730,,
ENSG00000272097,TMEM14B-DT,
ENSG00000267698,,
ENSG00000265107,GJA5,
ENSG00000264016,,
ENSG00000258658,,
ENSG00000258199,,
ENSG00000257913,DDN-AS1,
ENSG00000256210,,
ENSG00000255624,C10orf88B,
ENSG00000243004,,
ENSG00000237978,KCNMB2-AS1,
ENSG00000236013,LOC100507477,
ENSG00000235237,,
ENSG00000234754,LINC02817,
ENSG00000231518,,True
ENSG00000226074,PRSS44P,
ENSG00000224805,LINC00853,
ENSG00000215018,COL28A1,
ENSG00000213203,GIMAP1,
ENSG00000211978,IGHV5-78,
ENSG00000211642,IGLV10-54,
ENSG00000205560,CPT1B,
ENSG00000204822,MRPL53,
ENSG00000204220,PFDN6,
ENSG00000203757,OR6K3,
ENSG00000203747,FCGR3A,
ENSG00000179820,MYADM,
ENSG00000172461,FUT9,
ENSG00000170439,METTL7B,
ENSG00000169085,VXN,
ENSG00000160867,FGFR4,
ENSG00000154678,PDE1C,
ENSG00000152332,UHMK1,
ENSG00000143799,PARP1,
ENSG00000137393,RNF144B,
ENSG00000136982,DSCC1,
ENSG00000136960,ENPP2,
ENSG00000135917,SLC19A3,
ENSG00000129675,ARHGEF6,
ENSG00000128165,ADM2,
ENSG00000127324,TSPAN8,
ENSG00000121988,ZRANB3,
ENSG00000117069,ST6GALNAC5,
ENSG00000114346,ECT2,
ENSG00000112242,E2F3,
ENSG00000110799,VWF,
ENSG00000108622,ICAM2,
ENSG00000103591,AAGAB,
ENSG00000102104,RS1,
ENSG00000100883,SRP54,
ENSG00000099260,PALMD,
ENSG00000075702,WDR62,
ENSG00000074201,CLNS1A,
ENSG00000070193,FGF10,
ENSG00000281370,,True
ENSG00000279631,,
ENSG00000278971,,
ENSG00000277511,,
ENSG00000276772,,
ENSG00000276409,CCL14,
ENSG00000274653,,
ENSG00000272226,,
ENSG00000269711,,
ENSG00000267702,,True
ENSG00000267422,,
ENSG00000262251,,True
ENSG00000257281,,
ENSG00000253288,,
ENSG00000245711,NADK2-AS1,
ENSG00000233609,RPL10P19,
ENSG00000233101,HOXB-AS3,
ENSG00000227307,,
ENSG00000225077,LINC00337,
ENSG00000198554,WDHD1,
ENSG00000185737,NRG3,
ENSG00000185614,INKA1,
ENSG00000182134,TDRKH,
ENSG00000174640,SLCO2A1,
ENSG00000174156,GSTA3,
ENSG00000173369,C1QB,
ENSG00000171049,FPR2,
ENSG00000169718,DUS1L,
ENSG00000168484,SFTPC,
ENSG00000167103,PIP5KL1,
ENSG00000166104,,
ENSG00000163808,KIF15,
ENSG00000163626,COX18,
ENSG00000163590,PPM1L,
ENSG00000163535,SGO2,
ENSG00000163219,ARHGAP25,
ENSG00000162849,KIF26B,
ENSG00000162493,PDPN,
ENSG00000155659,VSIG4,
ENSG00000154065,ANKRD29,
ENSG00000152944,MED21,
ENSG00000147044,CASK,
ENSG00000138658,ZGRF1,
ENSG00000136630,HLX,
ENSG00000135069,PSAT1,
ENSG00000132429,POPDC3,
ENSG00000131196,NFATC1,
ENSG00000128285,MCHR1,
ENSG00000128159,TUBGCP6,
ENSG00000128059,PPAT,
ENSG00000126947,ARMCX1,
ENSG00000126500,FLRT1,
ENSG00000125810,CD93,
ENSG00000122912,SLC25A16,
ENSG00000109814,UGDH,
ENSG00000108389,MTMR4,
ENSG00000107593,PKD2L1,
ENSG00000105865,DUS4L,
ENSG00000093072,ADA2,
ENSG00000086232,EIF2AK1,
ENSG00000083093,PALB2,
ENSG00000073712,FERMT2,
ENSG00000070182,SPTB,
ENSG00000056277,ZNF280C,
ENSG00000006071,ABCC8,
ENSG00000004776,HSPB6,
ENSG00000279529,,
ENSG00000275839,,
ENSG00000273033,LINC02035,
ENSG00000267750,RUNDC3A-AS1,
ENSG00000262884,LOC101927911,
ENSG00000262155,LINC02175,
ENSG00000261338,,
ENSG00000259772,,
ENSG00000259490,IGHV3OR15-7,
ENSG00000258130,,
ENSG00000257542,OR7E47P,
ENSG00000253931,,
ENSG00000252112,SNORD63,
ENSG00000251675,,
ENSG00000236015,,
ENSG00000234602,MCIDAS,
ENSG00000233903,,True
ENSG00000227038,GTF2IP7,
ENSG00000226958,,True
ENSG00000224796,RPL32P1,
ENSG00000214826,DDX12P,
ENSG00000214215,,True
ENSG00000212901,KRTAP3-1,
ENSG00000211967,IGHV3-53,
ENSG00000211787,TRAV8-3,
ENSG00000204687,MAS1L,
ENSG00000204381,LAYN,
ENSG00000200063,,
ENSG00000199313,RNU4-82P,
ENSG00000198873,GRK5,
ENSG00000197497,ZNF665,
ENSG00000188783,PRELP,
ENSG00000188536,HBA2,
ENSG00000185499,MUC1,
ENSG00000184113,CLDN5,
ENSG00000183688,RFLNB,
ENSG00000183090,FREM3,
ENSG00000181798,LINC00471,
ENSG00000178187,ZNF454,
ENSG00000177303,CASKIN2,
ENSG00000176435,CLEC14A,
ENSG00000174371,EXO1,
ENSG00000172650,AGAP5,
ENSG00000170558,CDH2,
ENSG00000168546,GFRA2,
ENSG00000167208,SNX20,
ENSG00000166454,ATMIN,
ENSG00000166349,RAG1,
ENSG00000164972,C9orf24,
ENSG00000164037,SLC9B1,
ENSG00000164035,EMCN,
ENSG00000163599,CTLA4,
ENSG00000163568,AIM2,
ENSG00000163462,TRIM46,
ENSG00000163421,PROK2,
ENSG00000162613,FUBP1,
ENSG00000159055,MIS18A,
ENSG00000155438,NIFK,
ENSG00000154359,LONRF1,
ENSG00000152256,PDK1,
ENSG00000149131,SERPING1,
ENSG00000147234,FRMPD3,
ENSG00000143924,EML4,
ENSG00000139618,BRCA2,
ENSG00000139330,KERA,
ENSG00000137441,FGFBP2,
ENSG00000132646,PCNA,
ENSG00000130775,THEMIS2,
ENSG00000124019,FAM124B,
ENSG00000123643,SLC36A1,
ENSG00000123213,NLN,
ENSG00000122877,EGR2,
ENSG00000122852,SFTPA1,
ENSG00000121957,GPSM2,
ENSG00000121797,CCRL2,
ENSG00000120913,PDLIM2,
ENSG00000120658,ENOX1,
ENSG00000116701,NCF2,
ENSG00000115363,EVA1A,
ENSG00000114200,BCHE,
ENSG00000111886,GABRR2,
ENSG00000111728,ST8SIA1,
ENSG00000110958,PTGES3,
ENSG00000109501,WFS1,
ENSG00000106603,COA1,
ENSG00000106089,STX1A,
ENSG00000103274,NUBP1,
ENSG00000101825,MXRA5,
ENSG00000100311,PDGFB,
ENSG00000076067,RBMS2,
ENSG00000075131,TIPIN,
ENSG00000071909,MYO3B,
ENSG00000071282,LMCD1,
ENSG00000029993,HMGB3,
ENSG00000018280,SLC11A1,
ENSG00000281731,METTL14-DT,
ENSG00000278867,,
ENSG00000277224,H2BC7,
ENSG00000275830,,
ENSG00000273373,,
ENSG00000272954,,
ENSG00000271698,,
ENSG00000271334,LINC02104,
ENSG00000268117,VN1R84P,
ENSG00000267603,LINC01028,
ENSG00000267528,,True
ENSG00000267506,,
ENSG00000267374,MIR924HG,
ENSG00000265939,UBE2CP2,
ENSG00000264230,ANXA8L1,
ENSG00000262222,,True
ENSG00000261644,CYLD-AS1,
ENSG00000260912,,
ENSG00000260810,,
ENSG00000260571,BNIP3P5,
ENSG00000260549,MT1L,
ENSG00000259962,,
ENSG00000259138,,
ENSG00000258084,,
ENSG00000256742,KDM2B-DT,
ENSG00000255572,,
ENSG00000254744,,
ENSG00000254438,LINC02683,
ENSG00000250899,,
ENSG00000250893,,
ENSG00000250523,,
ENSG00000248551,,
ENSG00000248349,,
ENSG00000244791,LOC101927657,
ENSG00000244349,,
ENSG00000243742,RPLP0P2,
ENSG00000243566,UPK3B,
ENSG00000243264,IGKV2D-29,
ENSG00000242371,IGKV1-39,
ENSG00000241127,YAE1,
ENSG00000239474,KLHL41,
ENSG00000238035,,
ENSG00000236078,LINC01447,
ENSG00000234494,SP2-AS1,
ENSG00000233746,LINC00656,
ENSG00000233300,EIF4A1P1,
ENSG00000232445,EMSLR,
ENSG00000231240,KLF2P1,
ENSG00000230445,LRRC37A6P,
ENSG00000230353,RPS21P2,
ENSG00000230023,LINC02800,
ENSG00000229999,SGSM3-AS1,
ENSG00000229393,,
ENSG00000229388,LINC01715,
ENSG00000227321,MTND4P15,
ENSG00000224739,,
ENSG00000224367,OACYLP,
ENSG00000223842,,
ENSG00000223478,LOC100506100,
ENSG00000222033,LINC01124,
ENSG00000221947,XKR9,
ENSG00000217862,H4C10P,
ENSG00000215148,PRSS41,
ENSG00000214837,LINC01347,
ENSG00000214114,MYCBP,
ENSG00000214100,PLAC9P1,
ENSG00000211966,IGHV5-51,
ENSG00000211950,IGHV1-24,
ENSG00000211652,IGLV7-43,
ENSG00000207864,MIR27B,
ENSG00000207834,,True
ENSG00000207697,MIR573,
ENSG00000206177,HBM,
ENSG00000205037,LOC400553,
ENSG00000204392,LSM2,
ENSG00000204217,BMPR2,
ENSG00000198883,PNMA5,
ENSG00000197889,MEIG1,
ENSG00000197122,SRC,
ENSG00000188511,MIR3667HG,
ENSG00000188501,LCTL,
ENSG00000188372,ZP3,
ENSG00000187116,LILRA5,
ENSG00000186908,ZDHHC17,
ENSG00000186684,CYP27C1,
ENSG00000185432,METTL7A,
ENSG00000184347,SLIT3,
ENSG00000181085,MAPK15,
ENSG00000177853,ZNF518A,
ENSG00000177551,NHLH2,
ENSG00000176890,TYMS,
ENSG00000176014,TUBB6,
ENSG00000175489,LRRC25,
ENSG00000174839,DENND6A,
ENSG00000173727,,
ENSG00000173464,RNASE11,
ENSG00000171827,ZNF570,
ENSG00000171421,MRPL36,
ENSG00000171402,XAGE3,
ENSG00000171004,HS6ST2,
ENSG00000170276,HSPB2,
ENSG00000169223,LMAN2,
ENSG00000167779,IGFBP6,
ENSG00000167588,GPD1,
ENSG00000165475,CRYL1,
ENSG00000163719,MTMR14,
ENSG00000163428,LRRC58,
ENSG00000162598,C1orf87,
ENSG00000160345,C9orf116,
ENSG00000158806,NPM2,
ENSG00000156873,PHKG2,
ENSG00000156234,CXCL13,
ENSG00000155511,GRIA1,
ENSG00000155097,ATP6V1C1,
ENSG00000154127,UBASH3B,
ENSG00000152904,GGPS1,
ENSG00000152669,CCNO,
ENSG00000152527,PLEKHH2,
ENSG00000152207,CYSLTR2,
ENSG00000151849,CENPJ,
ENSG00000150756,ATPSCKMT,
ENSG00000149970,CNKSR2,
ENSG00000149679,CABLES2,
ENSG00000147443,DOK2,
ENSG00000147231,RADX,
ENSG00000142871,CCN1,
ENSG00000142227,EMP3,
ENSG00000140968,IRF8,
ENSG00000140905,GCSH,
ENSG00000140678,ITGAX,
ENSG00000137563,GGH,
ENSG00000134531,EMP1,
ENSG00000133246,PRAM1,
ENSG00000133195,SLC39A11,
ENSG00000132510,KDM6B,
ENSG00000132002,DNAJB1,
ENSG00000130768,SMPDL3B,
ENSG00000130598,TNNI2,
ENSG00000128050,PAICS,
ENSG00000124602,UNC5CL,
ENSG00000120686,UFM1,
ENSG00000119681,LTBP2,
ENSG00000119333,DYNC2I2,
ENSG00000119314,PTBP3,
ENSG00000116711,PLA2G4A,
ENSG00000116221,MRPL37,
ENSG00000116016,EPAS1,
ENSG00000115840,SLC25A12,
ENSG00000115806,GORASP2,
ENSG00000112902,SEMA5A,
ENSG00000112079,STK38,
ENSG00000107099,DOCK8,
ENSG00000106785,TRIM14,
ENSG00000105370,LIM2,
ENSG00000105352,CEACAM4,
ENSG00000105185,PDCD5,
ENSG00000104814,MAP4K1,
ENSG00000104687,GSR,
ENSG00000102271,KLHL4,
ENSG00000101335,MYL9,
ENSG00000101213,PTK6,
ENSG00000100599,RIN3,
ENSG00000100034,PPM1F,
ENSG00000096968,JAK2,
ENSG00000089199,CHGB,
ENSG00000080644,CHRNA3,
ENSG00000079257,LXN,
ENSG00000028137,TNFRSF1B,
ENSG00000023516,AKAP11,
ENSG00000018236,CNTN1,
ENSG00000009830,POMT2,
ENSG00000281887,GIMAP1-GIMAP5,
ENSG00000281780,snoZ196,
ENSG00000280387,,
ENSG00000279940,,
ENSG00000279784,,
ENSG00000279599,,
ENSG00000278963,,
ENSG00000278344,,
ENSG00000278309,,True
ENSG00000277758,LOC102724488,
ENSG00000277349,CICP25,
ENSG00000276043,UHRF1,
ENSG00000275764,,
ENSG00000275598,,
ENSG00000275401,,
ENSG00000275026,GXYLT1P4,
ENSG00000274759,RNA5SP527,
ENSG00000274627,,True
ENSG00000273901,,
ENSG00000272787,,
ENSG00000272218,,
ENSG00000272172,,
ENSG00000270332,SMC2-DT,
ENSG00000270015,,True
ENSG00000269896,LOC100129534,
ENSG00000269755,,
ENSG00000267667,,True
ENSG00000266805,,
ENSG00000266101,,
ENSG00000265452,MIR3682,
ENSG00000264357,MIR4648,
ENSG00000264274,MIR4799,
ENSG00000264235,MYL12-AS1,
ENSG00000264201,MIR4701,
ENSG00000263017,,
ENSG00000261212,,True
ENSG00000260942,CAPN10-DT,
ENSG00000260257,,
ENSG00000259994,,
ENSG00000259736,CRTC3-AS1,
ENSG00000259631,,
ENSG00000259337,IGHV1OR15-2,
ENSG00000259188,,
ENSG00000258711,,
ENSG00000258627,,
ENSG00000258597,SERPINA2,
ENSG00000258245,RPL10P13,
ENSG00000257878,,
ENSG00000257175,,
ENSG00000256751,PLBD1-AS1,
ENSG00000256427,,
ENSG00000255886,,
ENSG00000255587,RAB44,
ENSG00000255399,TBX5-AS1,
ENSG00000254973,,
ENSG00000254944,ATP5PBP5,
ENSG00000254872,LINC02688,
ENSG00000254708,MMADHCP2,
ENSG00000254395,IGHV4-55,
ENSG00000254367,,
ENSG00000254002,,
ENSG00000253846,PCDHGA10,
ENSG00000253742,IGHV3-60,
ENSG00000253481,IGKV1OR22-1,
ENSG00000253457,SMIM18,
